symbol_id,symbol,core_group,meaning,primary_themes,detection_hints
1,산,자연,피난/견고/시련,"보호·인도,인내·시험","윤곽/고도·수평선 구분"
2,바다,자연,혼돈/깊음/광활,"창조·섭리,소망·부활","수평선/파도 패턴"
3,강·샘,자연,생명/공급,"치유·회복,은혜","흐름성/연안 구조"
4,광야,자연,시험/의존,"인내·시험,소명·일·청지기","식생 희소/고립성"
5,숲·나무,자연,생장/의지,"창조·섭리,정의·공의","수관/밀도 지표"
6,꽃·풀,자연,덧없음/은혜,"은혜,순종·겸손","색채/비율≥3%"
7,해·빛,자연,창조/인도/영광,"소망·부활,임재·영광","역광/색온도 트리거"
8,달·별,자연,시간/질서,"소망·부활,창조·섭리","야간·점광 패턴"
9,비·눈,자연,은혜/정결,"은혜,치유·회복","강수/텍스처"
10,폭풍·바람,자연,위기/전환,"보호·인도,믿음·신뢰","구름질/흐림도 급변"
11,씨앗·열매,생명,시작/결과·성장,"창조·섭리,지혜·분별","과일/종자 형태"
12,포도나무·가지,생명,연합/의존,"공동체·연합,소명·일·청지기","덩굴형·송이 패턴"
13,양,생명,보호/목자,"사랑(아가페),보호·인도","종 분류 conf≥0.8"
14,사자,생명,권세/위엄,"정의·공의,소명·일·청지기","갈기/체형"
15,비둘기,생명,평화/성령,"평강·샬롬,성령·열매","흰색 소형 조류"
16,물고기,생명,공급/증언,"은혜,소명·일·청지기","ΙΧΘΥΣ/상점 구분"
17,어린아이,생명,보호/양육,"사랑(아가페),가정·양육","유모차/젖병 키포인트"
18,노인,생명,지혜/기억,"지혜·분별,사랑(아가페)","보행보조구/백발"
19,인간 표정,생명,정서 단서,"평강·샬롬,사랑(아가페)","감정 conf≥0.60"
20,집·가정,인공물,쉼/돌봄,"가정·양육,공동체·연합","지붕/창호"
21,도시·거리,인공물,세상/소명,"소명·일·청지기,정의·공의","간판 밀도/교통량"
22,길·다리,인공물,인도/결단,"보호·인도,지혜·분별","차선/소실점"
23,학교,인공물,배움/훈련,"지혜·분별,소명·일·청지기","교복/강의실"
24,병원,인공물,치유/위로,"치유·회복,평강·샬롬","ER/응급실 OCR"
25,시장·상점,인공물,생계/공정,"정의·공의,은혜","저울/가격표 OCR"
26,법정·재판,인공물,정의/책임,"정의·공의,지혜·분별","법봉/저울 아이콘"
27,공장·도구·차량,인공물,노동/생산,"소명·일·청지기,순종·겸손","공구/기계"
28,교회·예배당,인공물,예배/연합,"예배·찬양,공동체·연합","종탑/십자가"
29,무덤·기념,인공물,유한성/소망,"평강·샬롬,소망·부활","묘비/헌화"
30,노동·수고,인간활동,책임/청지기,"소명·일·청지기,정의·공의","작업복/공구 포즈"
31,농사·수확,인간활동,인내/열매,"지혜·분별,은혜","작물/계절 보정"
32,공부·독서,인간활동,배움/분별,"지혜·분별,말씀·진리","책/필기구"
33,음악·예술,인간활동,찬양/표현,"예배·찬양,공동체·연합","악기/무대"
34,스포츠·경기,인간활동,절제/경주,"지혜·분별,소명·일·청지기","트랙/메달"
35,결혼·잔치,인간활동,언약/기쁨,"공동체·연합,사랑(아가페)","반지/부케"
36,육아·돌봄,인간활동,보호/양육,"가정·양육,사랑(아가페)","아기용품/포옹"
37,여행·순례,인간활동,보냄/인도,"보호·인도,소명·일·청지기","공항/탑승권"
38,전쟁·무기,인간활동,갈등/분별,"정의·공의,평강·샬롬","무기 탐지"
39,정치·회의,인간활동,공공 판단,"지혜·분별,정의·공의","의사봉/회의실"
40,실내·집중,공간장면,묵상/기도,"기도,말씀·진리","실내 조도"
41,실외·광장,공간장면,개방/선포,"소명·일·청지기,공동체·연합","확장 공간"
42,군중,공간장면,긍휼/연대,"사랑(아가페),공동체·연합","인원/밀도"
43,고립·홀로,공간장면,성찰/임재,"평강·샬롬,보호·인도","단일 인물"
44,골목·어둑함,공간장면,경계/분별,"지혜·분별,보호·인도","저조도/협폭"
45,병실·대기실,공간장면,연약함/위로,"평강·샬롬,치유·회복","의료기기"
46,성지·랜드마크,공간장면,기억/예배,"예배·찬양,소명·일·청지기","랜드마크 POI"
